,airtemp_C,rh_pct,rain_mm
2001-01-01,26.7,44.78,0.0
2001-01-02,26.22,23.92,0.0
2001-01-03,25.03,20.87,0.0
2001-01-04,24.85,20.63,0.0
2001-01-05,24.32,22.78,0.0
2001-01-06,24.22,28.97,0.0
2001-01-07,25.93,27.64,0.0
2001-01-08,25.79,26.53,0.0
2001-01-09,24.16,26.37,0.0
2001-01-10,24.78,28.13,0.0
2001-01-11,24.88,27.41,0.0
2001-01-12,24.92,23.48,0.0
2001-01-13,26.21,23.77,0.0
2001-01-14,26.86,22.08,0.0
2001-01-15,26.94,21.3,0.0
2001-01-16,27.05,31.14,0.0
2001-01-17,27.15,18.79,0.0
2001-01-18,26.14,19.8,0.0
2001-01-19,26.87,24.73,0.0
2001-01-20,24.56,18.75,0.0
2001-01-21,24.76,18.89,0.0
2001-01-22,24.39,19.62,0.0
2001-01-23,24.85,18.48,0.0
2001-01-24,24.96,19.45,0.0
2001-01-25,24.51,19.36,0.0
2001-01-26,25.14,16.31,0.0
2001-01-27,25.39,15.7,0.0
2001-01-28,25.53,17.32,0.0
2001-01-29,26.57,20.67,0.0
2001-01-30,27.8,23.3,0.0
2001-01-31,28.09,31.3,0.0
2001-02-01,27.78,16.02,0.0
2001-02-02,27.98,16.25,0.0
2001-02-03,27.31,16.46,0.0
2001-02-04,28.21,25.57,0.03
2001-02-05,26.12,16.99,0.0
2001-02-06,26.02,16.6,0.0
2001-02-07,24.12,21.44,0.0
2001-02-08,25.13,17.99,0.0
2001-02-09,25.18,14.64,0.0
2001-02-10,25.26,14.3,0.0
2001-02-11,25.74,15.48,0.0
2001-02-12,25.05,13.94,0.0
2001-02-13,24.81,10.86,0.0
2001-02-14,23.6,15.38,0.0
2001-02-15,25.04,16.28,0.0
2001-02-16,26.76,17.24,0.0
2001-02-17,27.71,18.88,0.0
2001-02-18,28.7,17.71,0.0
2001-02-19,28.91,17.39,0.0
2001-02-20,29.51,15.35,0.0
2001-02-21,29.82,18.52,0.0
2001-02-22,29.92,21.25,0.0
2001-02-23,29.76,12.65,0.0
2001-02-24,29.33,16.15,0.0
2001-02-25,31.11,37.33,0.05
2001-02-26,32.15,26.63,0.01
2001-02-27,31.91,27.59,0.0
2001-02-28,31.35,16.56,0.0
2001-03-01,31.74,44.5,0.15
2001-03-02,33.37,36.51,0.0
2001-03-03,32.53,23.69,0.0
2001-03-04,32.44,37.98,0.02
2001-03-05,32.78,45.51,0.02
2001-03-06,33.31,31.82,0.0
2001-03-07,30.04,13.9,0.0
2001-03-08,29.45,15.51,0.02
2001-03-09,29.83,38.91,0.36
2001-03-10,32.36,42.01,0.81
2001-03-11,32.82,42.32,0.59
2001-03-12,32.59,44.12,0.78
2001-03-13,32.58,47.59,1.4
2001-03-14,29.38,61.18,1.94
2001-03-15,30.21,55.93,0.15
2001-03-16,31.47,50.34,2.28
2001-03-17,31.42,41.2,0.0
2001-03-18,30.55,50.54,0.01
2001-03-19,32.83,41.17,0.08
2001-03-20,32.73,43.77,0.05
2001-03-21,32.17,28.59,0.01
2001-03-22,30.99,51.45,0.31
2001-03-23,32.33,44.03,0.2
2001-03-24,32.72,42.19,0.27
2001-03-25,33.25,42.25,0.37
2001-03-26,33.09,43.08,0.36
2001-03-27,33.01,44.82,0.85
2001-03-28,32.38,48.62,0.7
2001-03-29,31.56,52.45,0.17
2001-03-30,32.53,47.79,2.22
2001-03-31,30.38,56.19,0.97
2001-04-01,32.17,51.33,2.5
2001-04-02,31.0,58.4,1.52
2001-04-03,30.71,58.53,1.56
2001-04-04,31.38,54.07,0.34
2001-04-05,31.32,55.31,3.32
2001-04-06,30.07,63.3,0.97
2001-04-07,31.91,53.61,2.34
2001-04-08,30.06,62.81,1.42
2001-04-09,31.71,54.35,0.86
2001-04-10,31.3,58.2,1.59
2001-04-11,29.98,65.79,2.18
2001-04-12,29.21,67.54,1.49
2001-04-13,30.1,63.11,2.73
2001-04-14,30.48,60.77,1.26
2001-04-15,31.61,55.21,3.01
2001-04-16,29.91,66.72,4.84
2001-04-17,28.97,71.57,2.94
2001-04-18,27.46,75.79,3.88
2001-04-19,27.94,73.07,1.0
2001-04-20,29.81,64.1,2.77
2001-04-21,30.4,62.93,2.04
2001-04-22,28.66,71.13,3.31
2001-04-23,29.72,65.16,0.63
2001-04-24,30.88,61.86,2.89
2001-04-25,30.19,65.44,2.01
2001-04-26,29.31,67.49,0.54
2001-04-27,30.38,56.62,0.35
2001-04-28,31.48,56.69,0.43
2001-04-29,31.35,58.25,0.26
2001-04-30,30.11,62.08,0.39
2001-05-01,29.39,65.62,1.23
2001-05-02,31.21,58.09,2.07
2001-05-03,31.25,59.94,3.32
2001-05-04,31.55,59.92,1.61
2001-05-05,30.65,61.79,0.72
2001-05-06,30.32,64.18,0.8
2001-05-07,30.02,64.8,1.85
2001-05-08,29.71,69.0,3.93
2001-05-09,29.82,68.77,2.32
2001-05-10,29.86,68.56,2.39
2001-05-11,30.06,66.14,1.84
2001-05-12,29.55,69.98,14.0
2001-05-13,29.24,67.28,0.28
2001-05-14,30.54,62.25,1.45
2001-05-15,29.72,69.64,5.07
2001-05-16,29.1,72.39,1.52
2001-05-17,30.28,65.96,2.8
2001-05-18,29.31,72.93,5.22
2001-05-19,29.12,70.73,1.92
2001-05-20,29.22,65.5,0.48
2001-05-21,29.89,60.14,0.75
2001-05-22,29.67,63.78,8.32
2001-05-23,28.44,71.28,6.5
2001-05-24,27.65,77.47,5.94
2001-05-25,28.09,71.65,1.75
2001-05-26,29.02,67.11,3.62
2001-05-27,28.71,67.35,0.22
2001-05-28,28.76,67.84,4.42
2001-05-29,27.81,74.65,7.95
2001-05-30,28.1,72.52,3.42
2001-05-31,29.1,66.36,1.26
2001-06-01,29.35,64.9,1.37
2001-06-02,29.06,67.45,1.4
2001-06-03,28.19,70.02,1.47
2001-06-04,30.37,58.79,0.83
2001-06-05,27.76,74.93,10.84
2001-06-06,28.87,66.47,0.97
2001-06-07,27.58,74.23,11.32
2001-06-08,27.99,73.77,7.62
2001-06-09,26.8,80.26,10.0
2001-06-10,27.33,74.72,2.46
2001-06-11,27.69,70.23,2.3
2001-06-12,27.87,70.85,2.16
2001-06-13,27.21,75.71,3.62
2001-06-14,27.57,75.67,2.16
2001-06-15,27.7,74.22,3.63
2001-06-16,28.27,71.33,2.07
2001-06-17,28.06,69.9,1.84
2001-06-18,27.75,71.3,1.47
2001-06-19,28.41,69.66,2.91
2001-06-20,27.57,74.22,7.02
2001-06-21,27.73,73.41,8.51
2001-06-22,25.49,88.0,10.56
2001-06-23,26.3,79.55,4.79
2001-06-24,25.9,81.26,12.02
2001-06-25,25.96,82.47,4.86
2001-06-26,27.34,75.18,5.11
2001-06-27,26.33,82.71,7.09
2001-06-28,26.43,78.13,7.59
2001-06-29,25.82,80.69,6.85
2001-06-30,26.66,77.56,1.42
2001-07-01,26.71,79.59,6.57
2001-07-02,27.18,78.29,4.15
2001-07-03,26.83,80.87,5.66
2001-07-04,25.5,84.84,4.74
2001-07-05,26.73,78.67,1.59
2001-07-06,26.6,79.38,3.4
2001-07-07,26.81,76.51,1.61
2001-07-08,27.25,75.22,1.71
2001-07-09,27.56,73.99,1.98
2001-07-10,26.79,77.51,5.41
2001-07-11,26.3,82.53,11.97
2001-07-12,25.32,85.74,4.63
2001-07-13,26.17,80.62,4.77
2001-07-14,27.31,77.64,4.59
2001-07-15,27.16,78.09,3.7
2001-07-16,25.71,81.69,6.27
2001-07-17,24.9,84.09,8.16
2001-07-18,25.87,80.05,3.48
2001-07-19,26.27,78.13,2.6
2001-07-20,25.98,82.65,5.86
2001-07-21,25.9,80.07,4.22
2001-07-22,24.77,84.01,5.11
2001-07-23,23.99,88.56,15.74
2001-07-24,24.34,87.32,6.48
2001-07-25,24.41,84.53,0.99
