,airtemp_C,rh_pct,rain_mm
2001-01-01,25.28,14.38,0.0
2001-01-02,25.74,12.58,0.0
2001-01-03,25.94,11.02,0.0
2001-01-04,25.29,12.73,0.0
2001-01-05,24.71,13.91,0.0
2001-01-06,23.59,16.93,0.0
2001-01-07,24.65,18.1,0.0
2001-01-08,25.37,17.73,0.0
2001-01-09,24.63,16.01,0.0
2001-01-10,25.11,16.41,0.0
2001-01-11,24.79,16.17,0.0
2001-01-12,24.91,13.76,0.0
2001-01-13,25.24,13.18,0.0
2001-01-14,25.75,12.65,0.0
2001-01-15,25.79,12.41,0.0
2001-01-16,26.0,12.33,0.0
2001-01-17,26.7,11.25,0.0
2001-01-18,26.55,10.78,0.0
2001-01-19,25.83,11.65,0.0
2001-01-20,24.92,12.46,0.0
2001-01-21,24.6,12.27,0.0
2001-01-22,24.5,11.66,0.0
2001-01-23,23.47,11.37,0.0
2001-01-24,23.44,12.46,0.0
2001-01-25,23.95,12.51,0.0
2001-01-26,24.45,10.84,0.0
2001-01-27,25.29,10.13,0.0
2001-01-28,25.36,10.23,0.0
2001-01-29,26.11,10.6,0.0
2001-01-30,26.32,11.43,0.0
2001-01-31,27.12,10.26,0.0
2001-02-01,27.88,9.15,0.0
2001-02-02,27.89,8.71,0.0
2001-02-03,27.08,9.15,0.0
2001-02-04,26.96,10.86,0.0
2001-02-05,25.71,10.42,0.0
2001-02-06,25.73,10.87,0.0
2001-02-07,24.66,12.43,0.0
2001-02-08,25.46,10.93,0.0
2001-02-09,25.01,8.65,0.0
2001-02-10,25.53,9.31,0.0
2001-02-11,24.9,10.15,0.0
2001-02-12,24.16,8.6,0.0
2001-02-13,23.19,9.08,0.0
2001-02-14,22.38,12.72,0.0
2001-02-15,23.81,13.84,0.0
2001-02-16,25.69,13.65,0.0
2001-02-17,27.22,13.29,0.0
2001-02-18,28.25,13.15,0.0
2001-02-19,28.85,11.27,0.0
2001-02-20,28.97,7.19,0.0
2001-02-21,29.39,7.75,0.0
2001-02-22,29.54,6.84,0.0
2001-02-23,29.34,7.41,0.0
2001-02-24,28.78,8.16,0.0
2001-02-25,28.91,10.21,0.0
2001-02-26,30.1,8.39,0.0
2001-02-27,30.6,8.42,0.0
2001-02-28,30.84,12.39,0.0
2001-03-01,30.29,12.52,0.0
2001-03-02,30.8,11.53,0.0
2001-03-03,31.0,10.25,0.0
2001-03-04,31.32,12.65,0.0
2001-03-05,32.21,34.46,0.0
2001-03-06,31.63,11.83,0.0
2001-03-07,30.05,5.77,0.0
2001-03-08,29.02,5.71,0.0
2001-03-09,28.59,12.04,0.0
2001-03-10,30.31,15.3,0.0
2001-03-11,30.09,13.56,0.0
2001-03-12,31.61,11.87,0.0
2001-03-13,32.9,28.24,0.01
2001-03-14,28.27,62.2,0.03
2001-03-15,31.53,48.83,0.0
2001-03-16,33.21,31.44,0.01
2001-03-17,31.51,10.38,0.0
2001-03-18,30.46,18.54,0.0
2001-03-19,32.17,20.29,0.0
2001-03-20,30.94,11.17,0.0
2001-03-21,31.35,6.77,0.0
2001-03-22,31.03,24.44,0.12
2001-03-23,32.35,36.08,0.19
2001-03-24,32.49,18.34,0.16
2001-03-25,32.52,16.65,0.04
2001-03-26,32.71,8.25,0.15
2001-03-27,33.16,26.55,0.03
2001-03-28,34.12,31.13,0.03
2001-03-29,33.99,39.24,0.02
2001-03-30,34.6,37.49,0.21
2001-03-31,35.12,34.98,0.06
2001-04-01,34.39,28.35,0.02
2001-04-02,33.63,35.67,0.05
2001-04-03,31.96,41.57,0.04
2001-04-04,34.02,36.56,0.02
2001-04-05,34.15,36.98,0.06
2001-04-06,31.11,51.25,1.76
2001-04-07,33.47,30.75,1.21
2001-04-08,32.81,31.2,0.53
2001-04-09,33.25,38.08,0.1
2001-04-10,33.12,28.15,0.25
2001-04-11,32.43,45.55,0.05
2001-04-12,32.02,49.3,0.05
2001-04-13,32.49,46.96,0.2
2001-04-14,32.96,43.95,0.2
2001-04-15,35.11,35.75,0.21
2001-04-16,33.17,47.07,3.56
2001-04-17,32.17,53.14,2.2
2001-04-18,30.35,58.72,3.76
2001-04-19,30.28,58.34,0.09
2001-04-20,32.12,50.77,3.2
2001-04-21,32.16,53.35,2.93
2001-04-22,31.8,52.98,1.15
2001-04-23,31.53,53.86,1.06
2001-04-24,33.29,45.16,0.47
2001-04-25,32.07,50.86,2.56
2001-04-26,31.72,52.44,0.38
2001-04-27,32.96,45.24,0.16
2001-04-28,34.56,39.16,0.44
2001-04-29,34.62,41.42,0.49
2001-04-30,32.92,47.38,0.16
2001-05-01,32.42,48.25,1.41
2001-05-02,32.08,50.15,4.15
2001-05-03,33.75,45.9,2.08
2001-05-04,31.8,56.44,2.91
2001-05-05,31.35,54.44,0.13
2001-05-06,31.27,53.5,2.66
2001-05-07,32.66,49.24,0.09
2001-05-08,31.63,56.85,9.26
2001-05-09,30.83,60.45,5.29
2001-05-10,30.92,60.03,4.86
2001-05-11,30.53,61.99,1.33
2001-05-12,30.76,60.44,2.82
2001-05-13,30.21,61.63,0.22
2001-05-14,32.15,52.37,1.01
2001-05-15,30.98,59.9,2.72
2001-05-16,29.54,66.96,0.43
2001-05-17,32.1,53.97,0.8
2001-05-18,31.48,56.93,0.96
2001-05-19,31.09,56.29,0.37
2001-05-20,31.19,52.29,0.52
2001-05-21,31.69,48.54,0.12
2001-05-22,31.9,47.91,3.52
2001-05-23,31.19,54.88,4.23
2001-05-24,29.8,62.78,4.31
2001-05-25,28.97,62.37,0.1
2001-05-26,30.58,55.65,3.3
2001-05-27,30.54,56.53,0.93
2001-05-28,30.6,54.13,1.03
2001-05-29,29.39,62.62,7.63
2001-05-30,28.75,66.23,4.66
2001-05-31,29.76,61.43,5.51
2001-06-01,29.77,62.21,6.44
2001-06-02,28.98,64.72,1.86
2001-06-03,29.86,59.65,2.24
2001-06-04,30.71,50.03,0.65
2001-06-05,29.93,60.39,9.83
2001-06-06,29.03,63.36,2.85
2001-06-07,29.09,62.33,8.54
2001-06-08,28.87,64.87,4.4
2001-06-09,29.1,64.31,7.86
2001-06-10,28.84,65.05,1.2
2001-06-11,29.53,57.82,1.21
2001-06-12,29.45,58.46,1.45
2001-06-13,29.49,59.6,1.28
2001-06-14,30.03,58.78,1.64
2001-06-15,28.45,65.62,3.02
2001-06-16,28.5,63.9,1.06
2001-06-17,30.04,55.6,1.77
2001-06-18,30.09,55.24,1.17
2001-06-19,29.34,61.83,3.84
2001-06-20,28.51,66.63,8.21
2001-06-21,28.7,66.59,6.25
2001-06-22,27.56,74.62,14.47
2001-06-23,27.25,72.55,4.03
2001-06-24,26.88,72.2,9.06
2001-06-25,26.97,72.98,1.6
2001-06-26,28.6,64.74,2.81
2001-06-27,28.63,66.37,1.54
2001-06-28,27.86,66.55,2.19
2001-06-29,27.54,65.95,4.21
2001-06-30,28.0,67.68,4.31
2001-07-01,27.57,73.21,15.38
2001-07-02,27.09,76.9,7.69
2001-07-03,27.12,76.24,15.6
2001-07-04,26.01,79.08,7.82
2001-07-05,27.44,72.99,3.3
2001-07-06,26.57,77.97,3.69
2001-07-07,27.01,72.34,0.56
2001-07-08,27.53,68.54,1.03
2001-07-09,28.65,66.31,2.76
2001-07-10,28.17,69.61,1.16
2001-07-11,27.43,72.47,4.53
2001-07-12,27.64,71.13,1.21
2001-07-13,28.04,68.7,1.84
2001-07-14,29.1,64.23,1.8
2001-07-15,27.42,75.07,3.64
2001-07-16,26.19,79.51,8.32
2001-07-17,25.21,81.89,8.17
2001-07-18,26.58,73.86,5.08
2001-07-19,27.23,71.8,3.67
2001-07-20,26.83,76.18,4.14
2001-07-21,26.7,74.76,3.21
2001-07-22,26.01,77.65,2.63
2001-07-23,26.21,79.07,5.11
2001-07-24,25.12,83.0,8.09
2001-07-25,25.53,79.82,1.71
2001-07-26,25.37,78.72,3.77
2001-07-27,26.55,76.6,5.58
2001-07-28,26.93,75.11,2.88
2001-07-29,25.83,83.07,16.04
2001-07-30,25.63,81.37,5.16
2001-07-31,24.53,84.3,7.58
2001-08-01,25.21,81.18,3.9
2001-08-02,25.72,78.27,2.2
2001-08-03,25.81,75.7,1.8
2001-08-04,26.66,75.71,5.74
2001-08-05,25.98,80.07,3.62
2001-08-06,27.39,72.57,2.61
2001-08-07,26.44,81.89,11.35
2001-08-08,25.26,85.77,1.88
2001-08-09,25.34,79.99,1.94
2001-08-10,26.68,76.62,2.78
2001-08-11,27.24,77.61,6.31
2001-08-12,26.49,80.65,2.22
2001-08-13,25.81,81.88,5.81
