,airtemp_C,rh_pct,rain_mm
2001-01-01,25.68,19.5,0.0
2001-01-02,26.23,18.84,0.0
2001-01-03,26.26,12.25,0.0
2001-01-04,25.64,12.7,0.0
2001-01-05,25.21,15.32,0.0
2001-01-06,24.9,17.43,0.0
2001-01-07,25.52,20.44,0.0
2001-01-08,25.65,21.21,0.0
2001-01-09,24.12,22.23,0.0
2001-01-10,25.27,18.17,0.0
2001-01-11,25.08,19.12,0.0
2001-01-12,25.05,16.43,0.0
2001-01-13,25.54,15.68,0.0
2001-01-14,25.71,15.56,0.0
2001-01-15,26.4,14.57,0.0
2001-01-16,25.51,16.68,0.0
2001-01-17,26.58,14.67,0.0
2001-01-18,26.97,12.7,0.0
2001-01-19,25.63,13.36,0.0
2001-01-20,25.58,13.1,0.0
2001-01-21,25.0,13.19,0.0
2001-01-22,24.77,13.04,0.0
2001-01-23,23.17,13.45,0.0
2001-01-24,24.2,13.51,0.0
2001-01-25,24.45,13.73,0.0
2001-01-26,25.01,12.53,0.0
2001-01-27,26.23,11.55,0.0
2001-01-28,26.34,12.06,0.0
2001-01-29,26.38,13.45,0.0
2001-01-30,27.24,14.08,0.0
2001-01-31,26.91,15.17,0.0
2001-02-01,28.06,11.71,0.0
2001-02-02,27.86,10.43,0.0
2001-02-03,27.35,10.46,0.0
2001-02-04,27.48,15.04,0.02
2001-02-05,26.22,12.21,0.0
2001-02-06,26.32,11.69,0.0
2001-02-07,25.56,13.2,0.0
2001-02-08,26.21,13.68,0.0
2001-02-09,25.18,10.54,0.0
2001-02-10,26.04,9.22,0.0
2001-02-11,25.47,10.82,0.0
2001-02-12,24.61,10.04,0.0
2001-02-13,24.35,8.41,0.0
2001-02-14,23.05,12.37,0.0
2001-02-15,24.32,13.24,0.0
2001-02-16,26.0,14.84,0.0
2001-02-17,27.34,15.21,0.0
2001-02-18,28.23,15.64,0.0
2001-02-19,28.65,13.38,0.0
2001-02-20,29.18,8.52,0.0
2001-02-21,29.02,9.99,0.0
2001-02-22,29.34,11.0,0.0
2001-02-23,29.16,8.77,0.0
2001-02-24,28.51,10.23,0.0
2001-02-25,29.51,16.74,0.0
2001-02-26,31.6,23.65,0.01
2001-02-27,31.6,11.76,0.0
2001-02-28,30.43,13.36,0.0
2001-03-01,30.54,21.68,0.0
2001-03-02,31.74,30.69,0.0
2001-03-03,31.09,12.9,0.01
2001-03-04,31.17,18.2,0.0
2001-03-05,32.36,43.09,0.09
2001-03-06,32.63,27.23,0.01
2001-03-07,30.17,7.95,0.0
2001-03-08,28.69,7.52,0.0
2001-03-09,29.24,9.55,0.04
2001-03-10,30.56,28.69,0.1
2001-03-11,30.95,34.94,0.15
2001-03-12,32.61,38.48,0.96
2001-03-13,33.22,40.55,1.73
2001-03-14,26.55,72.45,2.4
2001-03-15,29.17,59.05,0.01
2001-03-16,30.77,50.0,2.09
2001-03-17,30.66,44.17,0.01
2001-03-18,29.95,50.35,0.02
2001-03-19,31.94,42.52,0.1
2001-03-20,31.62,38.62,0.0
2001-03-21,31.01,15.6,0.0
2001-03-22,31.05,34.05,0.5
2001-03-23,32.2,41.5,0.59
2001-03-24,33.04,35.81,0.71
2001-03-25,33.57,36.21,0.48
2001-03-26,33.39,39.39,0.96
2001-03-27,32.46,44.03,0.18
2001-03-28,32.5,44.97,0.61
2001-03-29,31.32,51.39,0.24
2001-03-30,30.85,52.91,3.39
2001-03-31,30.88,53.35,0.29
2001-04-01,32.28,45.38,0.67
2001-04-02,31.15,52.78,0.62
2001-04-03,30.23,53.56,0.36
2001-04-04,32.04,46.47,0.04
2001-04-05,32.47,43.33,0.94
2001-04-06,29.88,58.51,2.06
2001-04-07,30.96,55.08,3.59
2001-04-08,31.12,51.85,0.72
2001-04-09,31.48,49.76,0.02
2001-04-10,32.17,46.62,1.17
2001-04-11,30.54,57.23,0.36
2001-04-12,29.79,60.05,1.57
2001-04-13,30.77,57.13,0.77
2001-04-14,30.5,55.37,1.79
2001-04-15,31.74,52.59,4.41
2001-04-16,29.64,64.88,4.13
2001-04-17,29.09,67.7,2.95
2001-04-18,28.82,66.85,2.93
2001-04-19,29.04,64.53,0.39
2001-04-20,30.29,59.74,3.11
2001-04-21,29.83,63.13,1.37
2001-04-22,29.5,63.08,0.75
2001-04-23,30.7,58.49,0.13
2001-04-24,31.92,53.69,3.37
2001-04-25,30.24,61.45,2.4
2001-04-26,29.39,64.38,1.08
2001-04-27,31.14,56.01,0.6
2001-04-28,32.04,51.72,1.62
2001-04-29,31.39,55.28,1.05
2001-04-30,29.35,63.37,0.55
2001-05-01,30.3,59.27,1.41
2001-05-02,31.05,55.68,2.15
2001-05-03,32.23,51.56,1.77
2001-05-04,30.52,61.55,1.34
2001-05-05,29.79,60.89,0.41
2001-05-06,31.15,54.17,2.24
2001-05-07,31.01,55.54,0.51
2001-05-08,29.99,63.2,4.86
2001-05-09,29.9,63.04,2.36
2001-05-10,30.33,61.66,2.67
2001-05-11,29.92,64.39,1.84
2001-05-12,29.99,65.19,6.48
2001-05-13,29.34,65.16,0.43
2001-05-14,30.87,58.56,0.82
2001-05-15,30.17,64.41,3.12
2001-05-16,28.99,70.12,0.53
2001-05-17,30.86,59.34,1.47
2001-05-18,30.55,62.31,2.48
2001-05-19,29.73,64.69,0.69
2001-05-20,30.01,57.56,0.21
2001-05-21,30.82,51.49,0.21
2001-05-22,30.35,55.52,8.32
2001-05-23,29.21,65.72,10.43
2001-05-24,27.52,75.58,8.91
2001-05-25,27.89,68.17,0.48
2001-05-26,29.42,60.64,0.94
2001-05-27,29.33,62.46,0.22
2001-05-28,29.48,60.71,0.53
2001-05-29,28.23,69.33,8.33
2001-05-30,27.58,71.25,5.19
2001-05-31,28.57,65.1,2.47
2001-06-01,29.1,63.92,4.01
2001-06-02,27.74,70.91,1.09
2001-06-03,28.74,64.05,0.99
2001-06-04,29.89,54.22,0.2
2001-06-05,28.78,66.91,9.48
2001-06-06,28.22,67.91,5.16
2001-06-07,28.17,67.01,6.82
2001-06-08,27.49,71.78,5.8
2001-06-09,27.85,71.39,8.65
2001-06-10,27.03,74.03,2.23
2001-06-11,27.98,66.35,2.69
2001-06-12,28.05,67.52,2.15
2001-06-13,27.48,71.59,3.7
2001-06-14,27.37,71.43,1.33
2001-06-15,27.0,72.23,2.2
2001-06-16,26.74,73.17,1.55
2001-06-17,28.23,66.13,1.86
2001-06-18,28.77,62.42,1.53
2001-06-19,28.35,67.68,3.04
2001-06-20,27.91,68.94,5.32
2001-06-21,28.39,68.46,3.03
2001-06-22,26.25,78.44,8.33
2001-06-23,26.4,75.02,5.21
2001-06-24,25.67,78.87,16.68
2001-06-25,25.45,80.24,3.48
2001-06-26,27.31,70.33,2.38
2001-06-27,27.02,74.49,3.46
2001-06-28,26.86,72.1,2.48
2001-06-29,26.47,72.31,4.54
2001-06-30,27.29,69.79,2.18
2001-07-01,27.28,72.54,8.92
2001-07-02,27.24,74.8,3.4
2001-07-03,26.16,78.62,10.91
2001-07-04,26.09,76.69,3.26
2001-07-05,27.31,73.53,2.42
2001-07-06,26.59,77.7,5.36
2001-07-07,26.87,72.87,0.85
2001-07-08,26.98,71.77,0.66
2001-07-09,27.24,71.93,2.89
2001-07-10,26.88,74.84,1.78
2001-07-11,27.14,75.02,6.85
2001-07-12,25.84,80.13,4.27
2001-07-13,25.89,78.19,3.21
2001-07-14,27.97,69.24,3.62
2001-07-15,27.55,73.97,2.45
2001-07-16,25.96,77.74,5.9
2001-07-17,24.94,82.53,9.05
2001-07-18,25.96,76.83,5.71
2001-07-19,26.88,72.82,3.25
2001-07-20,26.44,77.54,3.98
2001-07-21,25.99,76.23,3.82
2001-07-22,25.64,78.72,4.7
2001-07-23,24.44,85.67,9.06
2001-07-24,24.88,82.28,11.55
2001-07-25,25.09,82.04,3.73
2001-07-26,25.17,80.58,2.2
2001-07-27,25.55,79.47,4.3
2001-07-28,25.77,78.32,5.32
2001-07-29,25.97,82.03,13.45
2001-07-30,25.95,76.84,2.02
2001-07-31,24.83,80.74,11.27
2001-08-01,24.56,84.68,3.19
