year,scenario,age_band,metric,incidence_per1000,ci_lo,ci_hi,pct_reduction_vs_BAU,red_lo,red_hi
2023,BAU: SMC-4 (U5),U5,clinical,1676.5,1484.7,1918.2,,,
2023,BAU: SMC-4 (U5),5-10,clinical,3394.8,3149.0,3690.3,,,
2023,BAU: SMC-4 (U5),10-15,clinical,2824.7,2535.8,3111.4,,,
2023,BAU: SMC-4 (U5),U15,clinical,2558.5,2363.2,2782.9,,,
2023,SMC-5 (U5),U5,clinical,1336.3,1161.9,1530.2,20.3,14.0,25.0
2023,SMC-5 (U5),5-10,clinical,3372.2,3120.6,3670.2,0.6,-2.0,2.9
2023,SMC-5 (U5),10-15,clinical,2808.1,2533.1,3103.5,0.6,-2.5,3.2
2023,SMC-5 (U5),U15,clinical,2412.2,2193.0,2619.1,5.7,3.8,7.5
2023,SMC-4 (U10),U5,clinical,1633.3,1423.9,1827.3,2.5,-3.1,10.0
2023,SMC-4 (U10),5-10,clinical,1597.3,1384.6,1828.9,53.0,48.5,57.1
2023,SMC-4 (U10),10-15,clinical,2695.7,2457.4,2983.4,4.5,-2.7,11.8
2023,SMC-4 (U10),U15,clinical,1915.7,1724.5,2127.0,25.1,20.9,28.6
2023,SMC-4 (U15),U5,clinical,1570.9,1336.7,1809.0,6.3,0.5,14.1
2023,SMC-4 (U15),5-10,clinical,1578.9,1330.9,1818.4,53.5,48.7,57.2
2023,SMC-4 (U15),10-15,clinical,1384.7,1202.5,1596.5,51.0,46.3,55.5
2023,SMC-4 (U15),U15,clinical,1521.4,1322.7,1712.1,40.6,37.4,44.5
2023,SMC-5 (U10),U5,clinical,1294.9,1105.6,1499.0,22.8,16.6,29.6
2023,SMC-5 (U10),5-10,clinical,1251.2,1031.8,1455.7,63.2,58.7,66.2
2023,SMC-5 (U10),10-15,clinical,2679.2,2430.8,2918.4,5.1,-0.7,9.9
2023,SMC-5 (U10),U15,clinical,1664.2,1469.5,1854.4,35.0,30.9,38.1
2023,SMC-5 (U15),U5,clinical,1234.5,1037.4,1451.6,26.4,21.1,33.0
2023,SMC-5 (U15),5-10,clinical,1227.0,990.6,1446.1,63.9,59.4,68.0
2023,SMC-5 (U15),10-15,clinical,1132.6,967.0,1306.2,59.9,55.5,63.6
2023,SMC-5 (U15),U15,clinical,1203.6,1021.5,1393.4,53.0,49.0,56.8
2024,BAU: SMC-4 (U5),U5,clinical,1919.1,1709.9,2135.1,,,
2024,BAU: SMC-4 (U5),5-10,clinical,3602.0,3254.4,3935.0,,,
2024,BAU: SMC-4 (U5),10-15,clinical,2947.5,2717.5,3204.7,,,
2024,BAU: SMC-4 (U5),U15,clinical,2755.1,2530.6,2964.6,,,
2024,SMC-5 (U5),U5,clinical,1488.9,1293.4,1704.8,22.3,13.1,30.8
2024,SMC-5 (U5),5-10,clinical,3565.6,3189.5,3846.2,1.0,-5.7,8.8
2024,SMC-5 (U5),10-15,clinical,2900.9,2663.4,3102.0,1.5,-7.3,9.3
2024,SMC-5 (U5),U15,clinical,2559.4,2355.0,2789.7,7.1,2.1,12.2
2024,SMC-4 (U10),U5,clinical,1882.1,1653.5,2120.9,1.8,-7.5,10.6
2024,SMC-4 (U10),5-10,clinical,1846.0,1633.4,2045.8,48.7,42.5,54.4
2024,SMC-4 (U10),10-15,clinical,2812.2,2572.9,3067.1,4.5,-3.2,11.2
2024,SMC-4 (U10),U15,clinical,2127.2,1972.1,2337.7,22.7,17.2,27.9
2024,SMC-4 (U15),U5,clinical,1819.0,1573.8,2037.3,5.1,-6.8,16.1
