year,age_band,BAU: SMC-4 (U5),SMC-5 (U5),SMC-4 (U10),SMC-4 (U15),SMC-5 (U10),SMC-5 (U15)
2023,10-15,2824.7,2808.1,2695.7,1384.7,2679.2,1132.6
2023,5-10,3394.8,3372.2,1597.3,1578.9,1251.2,1227.0
2023,U15,2558.5,2412.2,1915.7,1521.4,1664.2,1203.6
2023,U5,1676.5,1336.3,1633.3,1570.9,1294.9,1234.5
2024,10-15,2947.5,2900.9,2812.2,1562.8,2764.6,1219.1
2024,5-10,3602.0,3565.6,1846.0,1854.9,1407.3,1389.8
2024,U15,2755.1,2559.4,2127.2,1759.6,1797.3,1349.2
2024,U5,1919.1,1488.9,1882.1,1819.0,1449.0,1407.0
2025,10-15,3010.7,2988.4,2924.3,1663.8,2857.7,1296.6
2025,5-10,3666.6,3640.9,1900.5,1939.9,1492.1,1502.4
2025,U15,2843.9,2687.6,2242.0,1893.0,1934.6,1484.5
2025,U5,2048.1,1688.1,2043.7,2015.2,1652.9,1601.5
2026,10-15,2972.1,2969.4,2911.0,1532.4,2915.6,1226.1
2026,5-10,3679.2,3659.8,1752.8,1785.6,1355.0,1389.3
2026,U15,2814.4,2654.2,2162.8,1775.3,1874.2,1400.0
2026,U5,1986.5,1592.8,1976.2,1938.1,1573.4,1531.9
2027,10-15,2736.5,2728.7,2765.6,1649.5,2710.2,1254.4
2027,5-10,3471.9,3463.5,1851.4,1899.5,1377.9,1423.5
2027,U15,2690.1,2539.4,2162.5,1854.6,1830.1,1429.4
2027,U5,2005.4,1634.6,1999.0,1961.2,1587.5,1558.4
