year,scenario,age_band,metric,incidence_per1000,ci_lo,ci_hi,pct_reduction_vs_BAU,red_lo,red_hi
2023,BAU,U5,clinical,1832.6,1657.3,2040.4,,,
2023,BAU,5-10,clinical,3596.9,3357.6,3828.5,,,
2023,BAU,10-15,clinical,2737.7,2521.7,2943.4,,,
2023,BAU,U15,clinical,2668.0,2531.2,2822.5,,,
2023,+5th cycle,U5,clinical,1431.4,1285.4,1587.8,21.9,17.6,26.3
2023,+5th cycle,5-10,clinical,3574.3,3345.2,3800.0,0.6,-2.7,3.8
2023,+5th cycle,10-15,clinical,2730.1,2462.6,2930.0,0.3,-3.9,4.1
2023,+5th cycle,U15,clinical,2501.3,2361.1,2658.7,6.2,4.7,8.5
2023,age_to_10y,U5,clinical,1824.6,1651.2,2046.7,0.3,-5.5,9.7
2023,age_to_10y,5-10,clinical,1607.9,1439.2,1791.4,55.3,50.4,59.8
2023,age_to_10y,10-15,clinical,2586.9,2406.8,2755.9,5.4,-0.6,12.5
2023,age_to_10y,U15,clinical,1962.4,1842.0,2094.1,26.4,22.0,30.3
2023,age_to_15y,U5,clinical,1770.7,1588.5,1991.1,3.3,-2.2,9.1
2023,age_to_15y,5-10,clinical,1615.3,1456.1,1757.3,55.1,50.5,59.4
2023,age_to_15y,10-15,clinical,1289.4,1147.2,1430.5,52.9,47.9,57.7
2023,age_to_15y,U15,clinical,1586.2,1477.6,1694.8,40.5,37.7,44.1
2023,5th+to10y,U5,clinical,1391.0,1221.1,1589.5,24.1,16.8,30.3
2023,5th+to10y,5-10,clinical,1244.3,1117.8,1369.3,65.4,61.7,69.3
2023,5th+to10y,10-15,clinical,2552.9,2380.5,2751.8,6.7,0.6,15.3
2023,5th+to10y,U15,clinical,1662.3,1542.4,1783.1,37.7,32.9,41.8
2023,5th+to15y,U5,clinical,1361.7,1178.6,1556.9,25.7,20.1,31.5
2023,5th+to15y,5-10,clinical,1241.9,1123.5,1382.5,65.5,61.3,68.6
2023,5th+to15y,10-15,clinical,1015.2,869.5,1138.2,62.9,57.9,67.9
2023,5th+to15y,U15,clinical,1225.9,1117.1,1336.3,54.1,50.2,57.4
2024,BAU,U5,clinical,1713.1,1555.0,1914.6,,,
2024,BAU,5-10,clinical,3169.9,2900.7,3415.2,,,
2024,BAU,10-15,clinical,2429.1,2195.5,2699.2,,,
2024,BAU,U15,clinical,2393.9,2223.7,2566.5,,,
2024,+5th cycle,U5,clinical,1192.0,1049.2,1348.5,30.3,21.5,38.8
2024,+5th cycle,5-10,clinical,3142.2,2906.5,3327.0,0.7,-10.8,9.4
2024,+5th cycle,10-15,clinical,2386.1,2138.1,2639.0,1.6,-8.4,14.5
2024,+5th cycle,U15,clinical,2169.6,2043.3,2308.8,9.3,2.2,15.3
2024,age_to_10y,U5,clinical,1654.9,1473.3,1857.8,3.2,-9.7,13.3
2024,age_to_10y,5-10,clinical,1436.6,1282.5,1623.6,54.6,49.4,59.4
2024,age_to_10y,10-15,clinical,2222.1,2049.8,2407.8,8.3,-4.4,17.7
2024,age_to_10y,U15,clinical,1737.8,1636.4,1879.6,27.3,19.8,32.9
2024,age_to_15y,U5,clinical,1602.0,1441.3,1806.5,6.3,-4.1,16.8
2024,age_to_15y,5-10,clinical,1450.9,1237.4,1600.8,54.2,48.1,59.8
