year,age_band,BAU,+5th cycle,age_to_10y,age_to_15y,5th+to10y,5th+to15y
2023,10-15,2737.7,2730.1,2586.9,1289.4,2552.9,1015.2
2023,5-10,3596.9,3574.3,1607.9,1615.3,1244.3,1241.9
2023,U15,2668.0,2501.3,1962.4,1586.2,1662.3,1225.9
2023,U5,1832.6,1431.4,1824.6,1770.7,1391.0,1361.7
2024,10-15,2429.1,2386.1,2222.1,1185.7,2195.4,796.0
2024,5-10,3169.9,3142.2,1436.6,1450.9,938.4,949.1
2024,U15,2393.9,2169.6,1737.8,1437.6,1367.1,961.8
2024,U5,1713.1,1192.0,1654.9,1602.0,1150.6,1089.7
2025,10-15,2581.8,2547.2,2488.1,1295.1,2402.7,856.5
2025,5-10,3409.5,3371.7,1523.8,1604.7,1044.3,1043.6
2025,U15,2589.0,2375.1,1933.0,1616.3,1540.5,1095.0
2025,U5,1901.3,1405.3,1890.2,1850.6,1356.9,1304.5
2026,10-15,2601.9,2558.4,2564.3,1207.3,2485.6,834.4
2026,5-10,3498.8,3499.9,1456.5,1507.0,975.6,1012.7
2026,U15,2595.8,2394.9,1919.5,1549.5,1528.5,1071.1
2026,U5,1831.5,1342.8,1857.1,1823.8,1324.0,1285.3
2027,10-15,2281.5,2262.8,2298.3,1284.6,2233.0,842.1
2027,5-10,3199.4,3182.6,1611.3,1652.3,1027.6,1057.9
2027,U15,2422.4,2218.1,1901.7,1601.3,1489.9,1092.8
2027,U5,1867.8,1372.5,1865.4,1780.8,1348.4,1300.1
