year,scenario,age_band,metric,incidence_per1000,ci_lo,ci_hi,pct_reduction_vs_BAU,red_lo,red_hi
2023,BAU: SMC-4 (U5),U5,clinical,1823.2,1683.4,1992.5,,,
2023,BAU: SMC-4 (U5),5-10,clinical,3746.9,3386.5,4011.9,,,
2023,BAU: SMC-4 (U5),10-15,clinical,2724.4,2501.8,2943.9,,,
2023,BAU: SMC-4 (U5),U15,clinical,2703.7,2528.0,2841.9,,,
2023,SMC-5 (U5),U5,clinical,1405.5,1256.8,1568.3,22.9,19.1,27.0
2023,SMC-5 (U5),5-10,clinical,3718.0,3404.0,3993.4,0.8,-1.8,3.2
2023,SMC-5 (U5),10-15,clinical,2713.6,2512.2,2883.4,0.4,-3.3,4.3
2023,SMC-5 (U5),U15,clinical,2526.4,2367.3,2667.3,6.6,4.2,8.6
2023,SMC-4 (U10),U5,clinical,1802.4,1626.8,1964.6,1.0,-7.2,8.3
2023,SMC-4 (U10),5-10,clinical,1656.8,1449.5,1836.9,55.8,51.3,59.5
2023,SMC-4 (U10),10-15,clinical,2549.4,2264.7,2773.5,6.4,0.1,13.4
2023,SMC-4 (U10),U15,clinical,1964.0,1822.7,2109.5,27.3,22.2,31.7
2023,SMC-4 (U15),U5,clinical,1753.9,1569.4,1929.9,3.7,-3.3,11.3
2023,SMC-4 (U15),5-10,clinical,1652.3,1484.6,1846.9,55.9,51.9,59.7
2023,SMC-4 (U15),10-15,clinical,1238.2,1126.4,1410.5,54.5,49.0,59.1
2023,SMC-4 (U15),U15,clinical,1576.7,1441.2,1695.1,41.7,38.5,45.4
2023,SMC-5 (U10),U5,clinical,1374.6,1185.9,1529.0,24.5,17.5,31.5
2023,SMC-5 (U10),5-10,clinical,1270.3,1075.5,1434.1,66.1,62.5,69.6
2023,SMC-5 (U10),10-15,clinical,2525.8,2271.6,2724.2,7.2,-1.2,14.5
2023,SMC-5 (U10),U15,clinical,1662.8,1514.4,1802.9,38.5,33.5,42.2
2023,SMC-5 (U15),U5,clinical,1325.5,1159.7,1491.9,27.3,20.8,34.5
2023,SMC-5 (U15),5-10,clinical,1249.3,1042.9,1412.6,66.7,63.4,70.0
2023,SMC-5 (U15),10-15,clinical,965.2,825.9,1099.7,64.5,59.0,68.6
2023,SMC-5 (U15),U15,clinical,1199.8,1067.5,1327.2,55.6,52.3,60.1
2024,BAU: SMC-4 (U5),U5,clinical,2057.6,1832.2,2251.7,,,
2024,BAU: SMC-4 (U5),5-10,clinical,3857.0,3534.1,4199.0,,,
2024,BAU: SMC-4 (U5),10-15,clinical,2819.2,2576.1,3047.6,,,
2024,BAU: SMC-4 (U5),U15,clinical,2859.2,2707.5,3037.8,,,
2024,SMC-5 (U5),U5,clinical,1535.2,1337.8,1745.9,25.3,17.4,32.9
2024,SMC-5 (U5),5-10,clinical,3860.4,3608.8,4182.9,-0.2,-7.4,5.6
2024,SMC-5 (U5),10-15,clinical,2810.6,2532.5,3016.5,0.2,-7.3,11.1
2024,SMC-5 (U5),U15,clinical,2651.5,2471.1,2811.1,7.2,2.3,12.7
2024,SMC-4 (U10),U5,clinical,2047.3,1824.0,2243.1,0.3,-12.0,11.8
2024,SMC-4 (U10),5-10,clinical,1915.9,1757.7,2159.8,50.3,44.4,55.0
2024,SMC-4 (U10),10-15,clinical,2647.1,2376.0,2981.1,6.0,-4.5,14.9
2024,SMC-4 (U10),U15,clinical,2172.3,2002.5,2306.6,24.0,18.2,29.3
2024,SMC-4 (U15),U5,clinical,1965.4,1751.4,2178.7,4.3,-6.9,14.9
2024,SMC-4 (U15),5-10,clinical,1914.4,1778.4,2070.5,50.3,44.2,55.5
2024,SMC-4 (U15),10-15,clinical,1478.9,1321.7,1617.8,47.5,41.7,53.0
2024,SMC-4 (U15),U15,clinical,1812.4,1715.3,1924.6,36.5,30.6,40.7
2024,SMC-5 (U10),U5,clinical,1506.0,1375.4,1660.2,26.7,16.3,33.5
2024,SMC-5 (U10),5-10,clinical,1363.1,1205.6,1490.7,64.6,61.3,67.9
2024,SMC-5 (U10),10-15,clinical,2618.4,2349.0,2841.2,7.0,-2.2,14.6
2024,SMC-5 (U10),U15,clinical,1770.4,1647.6,1859.8,38.0,33.7,42.7
2024,SMC-5 (U15),U5,clinical,1438.4,1297.1,1582.7,30.0,22.5,38.4
2024,SMC-5 (U15),5-10,clinical,1381.8,1256.2,1506.5,64.1,60.5,67.7
2024,SMC-5 (U15),10-15,clinical,1076.2,942.0,1237.4,61.8,56.6,65.7
2024,SMC-5 (U15),U15,clinical,1318.4,1226.7,1419.2,53.9,50.7,56.6
2025,BAU: SMC-4 (U5),U5,clinical,2204.9,2027.0,2382.5,,,
2025,BAU: SMC-4 (U5),5-10,clinical,4020.7,3793.4,4320.3,,,
2025,BAU: SMC-4 (U5),10-15,clinical,3027.6,2820.7,3234.8,,,
2025,BAU: SMC-4 (U5),U15,clinical,3034.2,2866.4,3202.7,,,
2025,SMC-5 (U5),U5,clinical,1707.6,1559.3,1840.3,22.5,13.8,29.2
2025,SMC-5 (U5),5-10,clinical,3992.2,3790.4,4213.5,0.6,-7.0,7.3
2025,SMC-5 (U5),10-15,clinical,2994.0,2752.0,3201.3,1.0,-6.9,8.3
2025,SMC-5 (U5),U15,clinical,2817.6,2666.5,2954.5,7.1,1.4,11.2
2025,SMC-4 (U10),U5,clinical,2197.4,2029.1,2364.8,0.2,-9.7,10.1
2025,SMC-4 (U10),5-10,clinical,1962.1,1762.8,2187.6,51.2,46.2,56.4
2025,SMC-4 (U10),10-15,clinical,2911.9,2665.4,3194.2,3.7,-3.8,13.2
2025,SMC-4 (U10),U15,clinical,2320.2,2153.3,2466.1,23.5,18.8,29.9
2025,SMC-4 (U15),U5,clinical,2174.6,1939.4,2413.4,1.2,-12.8,11.8
2025,SMC-4 (U15),5-10,clinical,2036.0,1880.0,2207.6,49.3,43.6,53.9
2025,SMC-4 (U15),10-15,clinical,1601.2,1441.1,1820.9,47.1,41.3,51.4
2025,SMC-4 (U15),U15,clinical,1968.3,1822.7,2125.3,35.1,28.7,39.7
2025,SMC-5 (U10),U5,clinical,1652.0,1405.1,1829.7,24.9,14.6,36.1
2025,SMC-5 (U10),5-10,clinical,1439.0,1315.8,1601.2,64.2,61.1,67.3
2025,SMC-5 (U10),10-15,clinical,2835.9,2588.7,3028.9,6.2,-3.3,14.9
2025,SMC-5 (U10),U15,clinical,1913.4,1754.1,2037.3,36.9,31.8,43.1
2025,SMC-5 (U15),U5,clinical,1591.0,1457.5,1769.2,27.7,19.7,36.1
2025,SMC-5 (U15),5-10,clinical,1464.3,1343.5,1591.9,63.5,59.7,68.3
2025,SMC-5 (U15),10-15,clinical,1162.0,1027.2,1322.1,61.6,56.3,66.7
2025,SMC-5 (U15),U15,clinical,1429.9,1326.4,1522.7,52.8,48.3,57.8
2026,BAU: SMC-4 (U5),U5,clinical,2145.4,1955.9,2280.6,,,
2026,BAU: SMC-4 (U5),5-10,clinical,4098.0,3838.3,4338.9,,,
2026,BAU: SMC-4 (U5),10-15,clinical,3114.2,2845.2,3392.9,,,
2026,BAU: SMC-4 (U5),U15,clinical,3059.4,2901.7,3215.6,,,
2026,SMC-5 (U5),U5,clinical,1655.9,1498.3,1780.8,22.7,14.5,31.6
2026,SMC-5 (U5),5-10,clinical,4087.3,3824.5,4385.6,0.2,-6.5,5.9
2026,SMC-5 (U5),10-15,clinical,3086.2,2858.7,3374.9,0.8,-7.3,8.4
2026,SMC-5 (U5),U15,clinical,2853.0,2700.4,2990.2,6.7,2.0,11.3
2026,SMC-4 (U10),U5,clinical,2143.8,1946.5,2318.4,-0.0,-10.7,9.2
2026,SMC-4 (U10),5-10,clinical,1857.6,1715.0,2031.4,54.6,50.0,58.8
2026,SMC-4 (U10),10-15,clinical,3048.1,2798.8,3333.7,2.0,-8.5,9.6
2026,SMC-4 (U10),U15,clinical,2301.5,2130.5,2449.4,24.7,19.3,31.0
2026,SMC-4 (U15),U5,clinical,2113.7,1939.3,2309.7,1.3,-9.5,9.8
2026,SMC-4 (U15),5-10,clinical,1910.1,1717.1,2090.0,53.3,48.3,58.9
2026,SMC-4 (U15),10-15,clinical,1563.2,1408.0,1697.0,49.7,43.2,56.0
2026,SMC-4 (U15),U15,clinical,1892.7,1732.4,2013.0,38.1,34.0,43.9
2026,SMC-5 (U10),U5,clinical,1622.4,1470.9,1810.5,24.3,15.6,32.3
2026,SMC-5 (U10),5-10,clinical,1348.3,1229.6,1518.0,67.1,62.0,70.2
2026,SMC-5 (U10),10-15,clinical,2985.2,2717.1,3191.6,4.1,-2.8,12.5
2026,SMC-5 (U10),U15,clinical,1910.0,1758.9,2054.6,37.5,32.9,42.1
