year,age_band,BAU: SMC-4 (U5),SMC-5 (U5),SMC-4 (U10),SMC-4 (U15),SMC-5 (U10),SMC-5 (U15)
2023,10-15,2724.4,2713.6,2549.4,1238.2,2525.8,965.2
2023,5-10,3746.9,3718.0,1656.8,1652.3,1270.3,1249.3
2023,U15,2703.7,2526.4,1964.0,1576.7,1662.8,1199.8
2023,U5,1823.2,1405.5,1802.4,1753.9,1374.6,1325.5
2024,10-15,2819.2,2810.6,2647.1,1478.9,2618.4,1076.2
2024,5-10,3857.0,3860.4,1915.9,1914.4,1363.1,1381.8
2024,U15,2859.2,2651.5,2172.3,1812.4,1770.4,1318.4
2024,U5,2057.6,1535.2,2047.3,1965.4,1506.0,1438.4
2025,10-15,3027.6,2994.0,2911.9,1601.2,2835.9,1162.0
2025,5-10,4020.7,3992.2,1962.1,2036.0,1439.0,1464.3
2025,U15,3034.2,2817.6,2320.2,1968.3,1913.4,1429.9
2025,U5,2204.9,1707.6,2197.4,2174.6,1652.0,1591.0
2026,10-15,3114.2,3086.2,3048.1,1563.2,2985.2,1156.1
2026,5-10,4098.0,4087.3,1857.6,1910.1,1348.3,1385.0
2026,U15,3059.4,2853.0,2301.5,1892.7,1910.0,1404.5
2026,U5,2145.4,1655.9,2143.8,2113.7,1622.4,1596.7
2027,10-15,2835.5,2813.9,2857.7,1664.6,2780.0,1193.2
2027,5-10,3766.5,3768.2,1934.2,1985.9,1373.1,1392.2
2027,U15,2881.2,2678.1,2276.3,1947.4,1860.8,1409.6
2027,U5,2159.0,1663.4,2152.5,2114.6,1625.4,1576.2
