date,Ghana|susp,Ghana|pos,Northern|susp,Northern|pos,Upper West|susp,Upper West|pos,Upper East|susp,Upper East|pos
2015-01-01,352850.0,162832.0,14820.0,3913.0,17138.0,10671.0,22743.0,9264.0
2015-02-01,329953.0,141710.0,14756.0,2857.0,15036.0,8004.0,23266.0,8893.0
2015-03-01,384811.0,170838.0,13286.0,4075.0,14845.0,7050.0,23209.0,9068.0
2015-04-01,393249.0,179800.0,13066.0,4263.0,11992.0,6093.0,19072.0,7141.0
2015-05-01,368893.0,181351.0,11251.0,3423.0,10086.0,4972.0,16264.0,5159.0
2015-06-01,462601.0,213841.0,20150.0,5605.0,11663.0,5544.0,17170.0,5548.0
2015-07-01,501399.0,248289.0,30961.0,7888.0,18366.0,10135.0,27015.0,11436.0
2015-08-01,472116.0,247481.0,39571.0,12527.0,16465.0,8327.0,46002.0,24158.0
2015-09-01,488830.0,264219.0,41242.0,17483.0,26746.0,13801.0,70852.0,40572.0
2015-10-01,561597.0,299582.0,40639.0,15866.0,34162.0,21348.0,85860.0,54703.0
2015-11-01,487554.0,247449.0,26706.0,11099.0,26000.0,15237.0,47919.0,22752.0
2015-12-01,436334.0,224488.0,18207.0,8040.0,14982.0,5784.0,42917.0,24264.0
2016-01-01,379389.0,176166.0,14035.0,4873.0,15427.0,3976.0,33929.0,17671.0
2016-02-01,376312.0,163358.0,13845.0,4603.0,20018.0,5923.0,35520.0,16975.0
2016-03-01,346942.0,144295.0,11827.0,4204.0,16169.0,4651.0,33909.0,14115.0
2016-04-01,426418.0,207530.0,11521.0,3661.0,13948.0,5585.0,27773.0,10747.0
2016-05-01,440815.0,227257.0,11601.0,4640.0,12752.0,5872.0,23551.0,8831.0
2016-06-01,500182.0,252459.0,20030.0,7420.0,16996.0,9363.0,24254.0,9393.0
2016-07-01,494694.0,279588.0,27307.0,13193.0,20213.0,11858.0,56981.0,36518.0
2016-08-01,468079.0,251708.0,31430.0,14082.0,18457.0,9634.0,66224.0,44086.0
2016-09-01,465233.0,248702.0,32266.0,14997.0,26923.0,15153.0,65558.0,42955.0
2016-10-01,606434.0,326293.0,40337.0,17243.0,36504.0,23707.0,82605.0,54288.0
2016-11-01,506448.0,244971.0,29255.0,11123.0,19900.0,9616.0,58521.0,31875.0
2016-12-01,367497.0,160556.0,20002.0,5290.0,11407.0,4158.0,36276.0,15410.0
2017-01-01,395124.0,203443.0,23228.0,8888.0,15817.0,7629.0,40194.0,21095.0
2017-02-01,362799.0,177580.0,16034.0,5139.0,15064.0,7034.0,32183.0,15240.0
2017-03-01,365500.0,174523.0,16361.0,4551.0,11760.0,5228.0,28738.0,11549.0
2017-04-01,337277.0,170282.0,14511.0,3772.0,10067.0,4127.0,23594.0,8469.0
2017-05-01,403113.0,228208.0,12275.0,4421.0,14556.0,8711.0,24247.0,8987.0
2017-06-01,437688.0,259211.0,19720.0,10985.0,21357.0,14749.0,29718.0,12842.0
2017-07-01,473345.0,281028.0,30431.0,18102.0,21059.0,14216.0,59768.0,37795.0
2017-08-01,489219.0,301163.0,36598.0,20718.0,15017.0,8491.0,55736.0,36325.0
2017-09-01,472312.0,296187.0,34902.0,21583.0,19823.0,11628.0,71651.0,48997.0
2017-10-01,513240.0,307025.0,34232.0,21388.0,23495.0,13469.0,68462.0,46064.0
2017-11-01,460545.0,255890.0,28087.0,14442.0,13528.0,7510.0,43745.0,27024.0
2017-12-01,415933.0,229975.0,19664.0,8129.0,11120.0,5589.0,33565.0,19876.0
2018-01-01,436698.0,239599.0,23451.0,8580.0,15430.0,7184.0,36084.0,18341.0
2018-02-01,404047.0,202743.0,18213.0,7642.0,17228.0,7279.0,34148.0,14199.0
2018-03-01,401379.0,201791.0,13168.0,5044.0,12303.0,5037.0,27862.0,9882.0
2018-04-01,403974.0,221469.0,12499.0,4434.0,14819.0,7500.0,23575.0,8104.0
2018-05-01,422767.0,249370.0,13176.0,5302.0,14218.0,7558.0,20470.0,7204.0
2018-06-01,491332.0,289055.0,22742.0,12883.0,19466.0,12294.0,22843.0,8485.0
2018-07-01,529898.0,301535.0,24753.0,14150.0,19299.0,11332.0,46622.0,26208.0
2018-08-01,498116.0,300380.0,28406.0,17131.0,21901.0,12993.0,55696.0,35387.0
2018-09-01,467806.0,296150.0,28734.0,16508.0,30765.0,19810.0,64848.0,44724.0
2018-10-01,590674.0,368773.0,31890.0,17122.0,43701.0,30968.0,77413.0,55748.0
2018-11-01,533283.0,325437.0,22328.0,11259.0,38676.0,27138.0,57785.0,42103.0
2018-12-01,391140.0,229008.0,16587.0,8986.0,19048.0,11232.0,33174.0,21316.0
2019-01-01,377919.0,202499.0,16520.0,7656.0,17296.0,8384.0,38656.0,20029.0
2019-02-01,379797.0,193926.0,13706.0,5933.0,18903.0,8297.0,37459.0,17834.0
2019-03-01,387218.0,198093.0,12280.0,5543.0,20479.0,9655.0,35425.0,15515.0
2019-04-01,361522.0,191641.0,11055.0,5177.0,13654.0,5522.0,27381.0,10596.0
2019-05-01,432734.0,247374.0,12618.0,5899.0,13722.0,6078.0,27436.0,11072.0
2019-06-01,532463.0,322110.0,20581.0,12106.0,31742.0,23181.0,29906.0,14513.0
2019-07-01,606535.0,371315.0,34442.0,16759.0,38699.0,26454.0,48723.0,29100.0
2019-08-01,536827.0,340648.0,25327.0,10088.0,34986.0,24577.0,63239.0,43505.0
2019-09-01,513602.0,314124.0,24672.0,10648.0,41272.0,27237.0,72529.0,47714.0
2019-10-01,659700.24,396211.0,28081.0,14005.0,45811.0,30861.0,88254.0,61681.0
