# Northern Ghana 3-region dataset for EMOD calibration. Proxy sites: Upper East=Navrongo, Upper West=Wa, Northern=Tamale.
# Sources: Ghana MICS2011(FR262), GDHS2014(FR307), GMIS2016(MIS26), GMIS2019(MIS35), GDHS2022(FR387). Children 6-59mo.
# pfpr_micro/pfpr_rdt = parasite prevalence (calibration target = microscopy). n=children tested.
# itn_u5=% U5 slept under ITN (DHS/GMIS, direct). careseek=% febrile U5 sought care. act_allfeb=% all febrile got ACT (messy/derived).
# smc_cov=assumed SMC per-cycle coverage from region start yr (UW 2015, UE 2016, Northern 2019); per-yr unpublished.
# irs_cov=ESTIMATED effective region-level IRS coverage (see notes) -- MODELING ESTIMATE from qualitative program history, NOT a survey figure.
#   Upper East: AGAMal/Global Fund, region-wide 2013-2014 (~90%), WITHDRAWN 2015+ (tiny 3-district 2017 pocket ignored).
#   Upper West: AGAMal, sustained ~90% from ~2014 onward (only region kept above >50% prevalence threshold).
#   Northern: PMI, continuous 2008-2022 but only ~4-9 of ~26 districts -> effective region coverage ~0.15-0.30 (district-fraction x ~0.92 acceptance).
# Northern boundary: OLD undivided region for 2011-2019; 2022 = retained Northern (Savannah/N.East split off).
region,year,pfpr_micro,pfpr_rdt,n,itn_u5,careseek,act_allfeb,smc_cov,irs_cov
upper_east,2011,0.440,0.774,194,0.450,0.688,0.273,0.0,0.0
upper_east,2014,0.117,0.227,105,0.374,0.813,0.368,0.0,0.90
upper_east,2016,0.147,0.258,105,0.755,0.853,,0.88,0.0
upper_east,2019,0.098,0.306,124,0.672,0.787,0.49,0.88,0.0
upper_east,2022,0.122,0.336,184,0.630,0.748,,0.88,0.0
upper_west,2011,0.512,0.806,135,0.469,0.622,0.115,0.0,0.0
upper_west,2014,0.378,0.623,66,0.545,0.804,0.566,0.0,0.90
upper_west,2016,0.215,0.278,75,0.607,0.639,,0.85,0.90
upper_west,2019,0.105,0.226,83,0.693,0.792,0.38,0.85,0.90
upper_west,2022,0.134,0.302,122,0.561,0.753,,0.85,0.90
northern,2011,0.483,0.701,508,0.418,0.427,0.087,0.0,0.30
northern,2014,0.400,0.606,313,0.432,0.812,0.190,0.0,0.15
northern,2016,0.252,0.393,464,0.610,0.849,,0.0,0.15
northern,2019,0.130,0.187,421,0.575,0.725,0.60,0.90,0.20
northern,2022,0.106,0.188,430,0.439,0.622,,0.90,0.30
