day,30-day Avg Infection Duration,Adult Vectors,Air Temperature,Avg Num Infections,Births,Blood Smear Gametocyte Prevalence,Blood Smear Parasite Prevalence,Campaign Cost,Daily Bites per Human,Daily EIR,Disease Deaths,Fever Prevalence,Human Infectious Reservoir,Infected,Infectious Vectors,Land Temperature,Log Prevalence,Mean Parasitemia,New Clinical Cases,New Infections,New Severe Cases,Newly Symptomatic,PCR Gametocyte Prevalence,PCR Parasite Prevalence,PfHRP2 Prevalence,Rainfall,Relative Humidity,Statistical Population,Symptomatic Population,True Prevalence,Variant Fraction-PfEMP1 Major
0,0.0,9315,23.60000038147,1.0,0,0.0,0.0,0,2.02799987793,0.0,0,0.0,0.0,0.09899999946356,0.0,23.60000038147,-1.004364848137,1.0,0,99,0,45,0.0,0.0,0.0,0.0,0.2765949964523,1000,0,0.0,0.0
1,0.0,8659,23.70599937439,1.0,0,0.0,0.0,0,1.978999972343,0.0,0,0.0,0.0,0.09899999946356,0.0,23.70599937439,-1.004364848137,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.270359992981,1000,0,0.0,0.0
2,0.0,8054,23.90900039673,1.0,0,0.0,0.0,0,1.833000063896,0.0,0,0.0,0.0,0.09899999946356,0.0,23.90900039673,-1.004364848137,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.2635250091553,1000,0,0.0,0.0
3,0.0,7504,23.95149993896,1.0,0,0.0,0.0,0,1.628999948502,0.0,0,0.0,0.0,0.09899999946356,0.0,23.95149993896,-1.004364848137,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.2657949924469,1000,0,0.0,0.0
4,0.0,6974,24.1280002594,1.0,0,0.0,0.0,0,1.601000070572,0.0,0,0.0,0.0,0.09899999946356,0.0,24.1280002594,-1.004364848137,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.2659449875355,1000,0,0.0,0.0
5,0.0,6524,24.18549919128,1.0,0,0.0,0.0,0,1.53200006485,0.0,0,0.0,0.0,0.09899999946356,0.0,24.18549919128,-1.004364848137,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.2636350095272,1000,0,0.0,0.0
6,0.0,6055,24.49550056458,1.0,0,0.0,0.0,0,1.307999968529,0.0,0,0.0,0.0,0.09899999946356,0.0,24.49550056458,-1.004364848137,1.0,0,0,0,0,0.0,0.04800000041723,0.0,0.0,0.2825999855995,1000,0,0.09899999946356,0.0004626163572539
7,0.0,5606,24.64800071716,1.0,0,0.0,0.0,0,1.332000017166,0.0,0,0.0,0.0,0.09899999946356,0.0,24.64800071716,-1.004364848137,1.0,0,0,0,0,0.0,0.03999999910593,0.0,0.0,0.2834349870682,1000,0,0.09899999946356,0.0004626163572539
8,0.0,5201,24.5030002594,1.0,0,0.0,0.0,0,1.235000014305,0.0,0,0.0,0.0,0.09899999946356,0.0,24.5030002594,-1.004364848137,1.0,0,0,0,0,0.0,0.06499999761581,0.0,0.0,0.2566649913788,1000,0,0.09899999946356,0.0004626163572539
9,0.0,4848,24.69199943542,1.0,0,0.0,0.0,0,1.054000020027,0.0,0,0.0,0.0,0.09899999946356,0.0,24.69199943542,-1.004364848137,1.0,0,0,0,0,0.0,0.05600000172853,0.0,0.0,0.2548699975014,1000,0,0.09899999946356,0.0004626163572539
